2026-02-16 07:08:08 | backtest.engine           | INFO    | Backtest: 2017-05-22 to 2025-12-31, 104 rebalance dates
2026-02-16 07:08:08 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.2631
2026-02-16 07:08:08 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.2717
2026-02-16 07:08:08 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0921
2026-02-16 07:08:08 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0861
2026-02-16 07:08:08 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0899
2026-02-16 07:08:08 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0924
2026-02-16 07:08:08 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0794
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0801
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0865
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0905
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0648
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0622
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0584
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0604
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0632
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0634
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0533
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0472
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0393
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0363
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0397
2026-02-16 07:08:09 | portfolio.optimizer       | INFO    | Ledoit-Wolf shrinkage: 0.0401
